reservation_id,customer_id,restaurant_id,reservation_time,guest_count,notes,status,rejection_reason,created_at,updated_at
8d59c2e2-9b2d-49df-92e4-4b09284eb423,e82a3d1c-815f-408b-83dd-abb4550d32d9,db62dce8-6248-47c7-974a-2abf6402197d,2026-05-26 21:52:33,5,Gần cửa sổ,COMPLETED,,2026-05-10 17:37:33,2026-05-10 17:37:33
61cece5b-ee31-478a-84ba-705b778308ad,3953805d-03e7-4628-baff-f89b6223f0d6,db62dce8-6248-47c7-974a-2abf6402197d,2026-05-18 02:07:33,9,Ghế trẻ em,REJECTED,Kín bàn,2026-05-11 12:37:33,2026-05-11 12:37:33
c34cbf12-1c7f-4154-89ce-9928805976c5,d6a8a1c7-75ae-4684-9204-b5a11d93f961,2037aa13-62c6-4776-b970-dc4545feb065,2026-05-24 08:07:33,6,,REJECTED,Kín bàn,2026-05-10 08:37:33,2026-05-10 08:37:33
0ea8ade1-100b-4ba0-9d71-6969ef19692b,762fe30e-e358-42d2-9851-4c5ca7079267,2037aa13-62c6-4776-b970-dc4545feb065,2026-05-24 22:22:33,4,Ghế trẻ em,REJECTED,Kín bàn,2026-05-09 10:37:33,2026-05-09 10:37:33
c00e1ef6-24f3-4c4d-a323-5699f0814e74,2097a05e-552f-4f4c-81f6-f4dad67959e4,2037aa13-62c6-4776-b970-dc4545feb065,2026-05-25 23:22:33,1,Ghế trẻ em,CONFIRMED,,2026-05-08 16:37:33,2026-05-08 16:37:33
58e93c0d-0464-4f4a-9140-0415c113b8df,a84b051b-cfbc-4168-a43c-af535816769c,2037aa13-62c6-4776-b970-dc4545feb065,2026-05-20 07:22:33,8,Ghế trẻ em,CANCELLED,,2026-05-11 12:37:33,2026-05-11 12:37:33
48f15e70-4012-41dc-b16a-fad8346e7a14,c5bb10d5-eabc-4328-8500-a65fb4ddee7f,2037aa13-62c6-4776-b970-dc4545feb065,2026-05-15 22:52:33,3,Kỷ niệm,REJECTED,Kín bàn,2026-05-11 13:37:33,2026-05-11 13:37:33
8442cadd-234a-4560-9001-b3beeb29e8c3,a7f973c2-0bf1-4c03-9a56-15c68e0a6004,2037aa13-62c6-4776-b970-dc4545feb065,2026-05-16 02:52:33,9,Kỷ niệm,CANCELLED,,2026-05-10 14:37:33,2026-05-10 14:37:33
e44f469e-03eb-420a-a75c-8fe0f4326831,ea7e625b-3506-4f51-b31c-549c8047ac5f,2037aa13-62c6-4776-b970-dc4545feb065,2026-05-18 02:37:33,4,Gần cửa sổ,CONFIRMED,,2026-05-09 12:37:33,2026-05-09 12:37:33
2029a79d-0fd4-4e16-a937-b265fca257b7,2c008f09-67e4-4758-ba11-1ecae3db73b9,1b24fb7f-7bcd-4e7f-8cb6-a9c0f5c5e516,2026-05-19 04:37:33,10,Gần cửa sổ,COMPLETED,,2026-05-08 23:37:33,2026-05-08 23:37:33
72fdd404-c78c-48c1-919a-103f9abb01a6,ae335362-a6c6-4531-a08a-f6eb2076d3ad,1b24fb7f-7bcd-4e7f-8cb6-a9c0f5c5e516,2026-05-23 04:37:33,2,Ghế trẻ em,CONFIRMED,,2026-05-09 21:37:33,2026-05-09 21:37:33
bdd5e1a8-dc52-4b5f-ae6c-bbd4569c3e74,54d67e00-e944-4b59-b38c-51fc7d02d226,1b24fb7f-7bcd-4e7f-8cb6-a9c0f5c5e516,2026-05-23 02:37:33,3,Gần cửa sổ,REJECTED,Kín bàn,2026-05-11 01:37:33,2026-05-11 01:37:33
a2b48eba-2c79-4e93-bd69-501f70ae4013,5695e134-e763-41e9-b1bd-71d45575d091,1b24fb7f-7bcd-4e7f-8cb6-a9c0f5c5e516,2026-05-17 23:22:33,8,,CONFIRMED,,2026-05-09 22:37:33,2026-05-09 22:37:33
a94edc9e-23b3-46c0-8c11-912b928baccb,902b1628-6876-4d01-98d0-413bb6cda128,1b24fb7f-7bcd-4e7f-8cb6-a9c0f5c5e516,2026-05-22 22:52:33,2,,PENDING,,2026-05-10 21:37:33,2026-05-10 21:37:33
309f4a39-8a9c-4154-9bf9-4451e24fd07a,b5ca65d1-6112-4fcb-bbaf-a4cfab9a27c2,1b24fb7f-7bcd-4e7f-8cb6-a9c0f5c5e516,2026-05-26 02:22:33,10,,CANCELLED,,2026-05-12 02:37:33,2026-05-12 02:37:33
6a001d68-6df8-402e-9aa6-09049f0e24ae,425d8abd-ca92-4b8d-b48b-e754012f30ca,1b24fb7f-7bcd-4e7f-8cb6-a9c0f5c5e516,2026-05-13 21:07:33,7,Gần cửa sổ,CONFIRMED,,2026-05-09 07:37:33,2026-05-09 07:37:33
35172386-9e82-4ccd-aadb-ccc35c3cf2bb,5efbed3f-fe5c-4a14-9b3b-195d9803abbd,1b24fb7f-7bcd-4e7f-8cb6-a9c0f5c5e516,2026-05-20 23:22:33,5,,REJECTED,Kín bàn,2026-05-08 19:37:33,2026-05-08 19:37:33
73d67afb-08e5-43e1-9c6a-11c57d061fd8,e182360d-4d48-497e-b95c-3807ecd53916,604a9d4b-1a55-4c8c-b353-810b2eddcd25,2026-05-27 01:07:33,4,Kỷ niệm,REJECTED,Kín bàn,2026-05-12 08:37:33,2026-05-12 08:37:33
74bc6f9d-e309-4c9a-95a0-16c7c97acac6,1a463f01-959e-4ee7-89e5-01bad036fe73,604a9d4b-1a55-4c8c-b353-810b2eddcd25,2026-05-15 08:07:33,8,Kỷ niệm,CONFIRMED,,2026-05-10 22:37:33,2026-05-10 22:37:33
134319a1-5f5a-4e90-b9ac-52bab6361eb9,5e5ffa52-da11-4874-b2ac-0fb170aeabe8,604a9d4b-1a55-4c8c-b353-810b2eddcd25,2026-05-14 00:22:33,3,Gần cửa sổ,REJECTED,Kín bàn,2026-05-08 16:37:33,2026-05-08 16:37:33
52c2db6b-e99b-4032-94da-864a93713a7e,a12b531a-e05c-45ba-bcd4-f37d838c0062,604a9d4b-1a55-4c8c-b353-810b2eddcd25,2026-05-15 02:52:33,7,Ghế trẻ em,REJECTED,Kín bàn,2026-05-11 08:37:33,2026-05-11 08:37:33
f5073e4f-3467-4c0e-9fdf-762f5413a5a3,5e5ffa52-da11-4874-b2ac-0fb170aeabe8,604a9d4b-1a55-4c8c-b353-810b2eddcd25,2026-05-20 03:22:33,10,Ghế trẻ em,CANCELLED,,2026-05-08 20:37:33,2026-05-08 20:37:33
30a0b77c-9ab5-40e3-a0b2-45f945a43bb5,b0cca6d5-1541-430e-a760-dd86e09641aa,604a9d4b-1a55-4c8c-b353-810b2eddcd25,2026-05-18 04:37:33,10,Kỷ niệm,REJECTED,Kín bàn,2026-05-09 08:37:33,2026-05-09 08:37:33
b3722c9a-eba2-41fd-973a-0c386bc168a7,73c3bd5a-b5cf-473a-bf12-a4a8930fb5f5,604a9d4b-1a55-4c8c-b353-810b2eddcd25,2026-05-21 07:52:33,1,,COMPLETED,,2026-05-11 11:37:33,2026-05-11 11:37:33
9fbf1796-9b94-4927-8f63-3eb707c047b7,0b074c5e-2df1-4853-87e2-b939d4334488,604a9d4b-1a55-4c8c-b353-810b2eddcd25,2026-05-17 08:07:33,1,Kỷ niệm,CONFIRMED,,2026-05-12 08:37:33,2026-05-12 08:37:33
4d49d8b2-d4b2-4523-8a12-8740093f9607,e8c5b6eb-941b-4ebc-9ad8-e701669ba531,bb7e9cc5-2b81-4f3c-8da1-ad7335247d75,2026-05-20 08:22:33,9,Ghế trẻ em,REJECTED,Kín bàn,2026-05-08 15:37:33,2026-05-08 15:37:33
3f70e66f-c23f-4dcd-bbf8-d642f3f94fb5,e31f3966-247c-4146-ae3f-bb3f2c8eaf13,bb7e9cc5-2b81-4f3c-8da1-ad7335247d75,2026-05-21 08:07:33,8,Kỷ niệm,PENDING,,2026-05-10 20:37:33,2026-05-10 20:37:33
75baa179-5489-447a-b5fa-66eff6a16f55,4dee89ca-f6ea-4599-8347-015711a39ec4,bb7e9cc5-2b81-4f3c-8da1-ad7335247d75,2026-05-27 04:22:33,8,Ghế trẻ em,REJECTED,Kín bàn,2026-05-11 22:37:33,2026-05-11 22:37:33
ef0134eb-d864-48de-80c6-b56f92d5296f,c3ad8dfa-ea8d-41f7-9b6a-f0ba32894ad0,bb7e9cc5-2b81-4f3c-8da1-ad7335247d75,2026-05-27 01:22:33,9,Gần cửa sổ,CANCELLED,,2026-05-10 03:37:33,2026-05-10 03:37:33
3a3e4d4a-e9fc-4b98-94e1-59b8aa4c75c2,7f3be3c5-372c-421a-846b-816de2773931,bb7e9cc5-2b81-4f3c-8da1-ad7335247d75,2026-05-21 22:07:33,2,Gần cửa sổ,COMPLETED,,2026-05-09 20:37:33,2026-05-09 20:37:33
c808a593-0768-4fa8-bd1e-b934dd113e6f,538c6a8e-153d-4353-a97e-2631b3cb494c,2f96e934-56c2-421d-b105-cb877bd9dbdf,2026-05-18 19:52:33,3,Gần cửa sổ,COMPLETED,,2026-05-10 21:37:33,2026-05-10 21:37:33
cba1868b-2a39-4f4c-8317-6f444e13079a,87c4beae-cb2e-4772-be5e-daf305c68294,2f96e934-56c2-421d-b105-cb877bd9dbdf,2026-05-26 20:07:33,8,Kỷ niệm,PENDING,,2026-05-12 02:37:33,2026-05-12 02:37:33
47fcffcf-d05f-4346-94d4-d78bebfe4153,69843d25-cf90-4b3a-ab1e-d6a8010d3bc3,2f96e934-56c2-421d-b105-cb877bd9dbdf,2026-05-22 22:37:33,6,Kỷ niệm,COMPLETED,,2026-05-12 00:37:33,2026-05-12 00:37:33
92ba3b2e-d5fd-465c-8341-a22657ee182d,e66e4b69-ee92-4984-bf09-4deacf9839f0,2f96e934-56c2-421d-b105-cb877bd9dbdf,2026-05-22 05:37:33,9,Ghế trẻ em,REJECTED,Kín bàn,2026-05-11 06:37:33,2026-05-11 06:37:33
6db114e0-2656-4380-8d30-e63165d8c802,d833dad9-9704-4a34-87ca-0d695e9a4a4d,2f96e934-56c2-421d-b105-cb877bd9dbdf,2026-05-15 06:37:33,8,Gần cửa sổ,REJECTED,Kín bàn,2026-05-09 04:37:33,2026-05-09 04:37:33
fe1d7f21-67dd-490e-b968-940931cd531e,0b1a264d-15b5-4107-90db-af709a3fd032,2f96e934-56c2-421d-b105-cb877bd9dbdf,2026-05-15 03:37:33,9,Kỷ niệm,COMPLETED,,2026-05-09 18:37:33,2026-05-09 18:37:33
453fd7f3-b703-4b09-a789-72fd9dbf419f,71844d3e-579f-47ef-850d-b92efff533bc,cbdd0762-1248-4e13-8494-e298f2961d30,2026-05-26 06:22:33,7,,PENDING,,2026-05-12 07:37:33,2026-05-12 07:37:33
bd05d552-e7d5-46c2-8214-3e1acee3c47a,115fe8d9-3f4d-47ce-97ce-883ef8dc9073,cbdd0762-1248-4e13-8494-e298f2961d30,2026-05-16 06:07:33,4,,PENDING,,2026-05-12 00:37:33,2026-05-12 00:37:33
a4cd8d3b-b3bf-4bb3-97b9-7ebc1641d9e7,b0ad1e3b-f4ec-4488-93b6-9e8cdb5c7a8f,cbdd0762-1248-4e13-8494-e298f2961d30,2026-05-24 00:22:33,8,Kỷ niệm,COMPLETED,,2026-05-11 17:37:33,2026-05-11 17:37:33
09700dd8-ce54-4b1f-827e-a1be87b72870,3f359510-1097-4120-92f1-db76f4816159,cbdd0762-1248-4e13-8494-e298f2961d30,2026-05-16 08:22:33,9,Gần cửa sổ,CONFIRMED,,2026-05-09 12:37:33,2026-05-09 12:37:33
a3050895-9c2b-4de9-bc43-0feff1010a2d,a6e17dfc-663c-48b4-8f62-94a623d81118,cbdd0762-1248-4e13-8494-e298f2961d30,2026-05-21 03:37:33,5,,PENDING,,2026-05-11 20:37:33,2026-05-11 20:37:33
967f700f-c367-4169-9679-749a5e17b054,2dc8e256-4385-405e-9dc8-6fc9218e18ea,cbdd0762-1248-4e13-8494-e298f2961d30,2026-05-16 02:37:33,7,Kỷ niệm,REJECTED,Kín bàn,2026-05-08 16:37:33,2026-05-08 16:37:33
b51c7e9a-17a9-4fef-a5b5-34e2d6bef471,c13aa170-59e9-4be5-a05e-080caf940123,cbdd0762-1248-4e13-8494-e298f2961d30,2026-05-24 06:37:33,5,Gần cửa sổ,PENDING,,2026-05-11 22:37:33,2026-05-11 22:37:33
e4993eac-0374-4371-aa89-2fdce48f2b54,b192e26a-209c-4261-96f9-498ff0e83226,cbdd0762-1248-4e13-8494-e298f2961d30,2026-05-25 01:07:33,3,Kỷ niệm,COMPLETED,,2026-05-12 02:37:33,2026-05-12 02:37:33
74d64044-011d-47df-81fd-89c00df1594c,2ee8eb53-8ff9-4c7d-b8b8-7027facf4eda,9331a273-0e04-4ee5-b93a-d0bb8e908815,2026-05-23 07:52:33,6,,PENDING,,2026-05-09 14:37:33,2026-05-09 14:37:33
869db608-88b7-47f3-ac6d-6f17db0facc7,e943b987-cec9-4b92-8246-48300ecf4eea,9331a273-0e04-4ee5-b93a-d0bb8e908815,2026-05-14 20:37:33,7,,PENDING,,2026-05-11 09:37:33,2026-05-11 09:37:33
428be551-890f-4618-b773-43c505437d00,87bcff03-6e0d-4ad3-aef4-1cd8194a64f8,9331a273-0e04-4ee5-b93a-d0bb8e908815,2026-05-16 21:52:33,5,Kỷ niệm,REJECTED,Kín bàn,2026-05-10 20:37:33,2026-05-10 20:37:33
21596178-2e1f-4df4-a4a1-12305b309120,334fab41-0713-4397-9802-1206e635c433,9331a273-0e04-4ee5-b93a-d0bb8e908815,2026-05-23 04:22:33,2,Kỷ niệm,REJECTED,Kín bàn,2026-05-11 22:37:33,2026-05-11 22:37:33
edebf637-c1f1-4da7-9cb3-07837c9b8e7a,36342ee2-bb18-4d7c-9777-9605188630bd,9331a273-0e04-4ee5-b93a-d0bb8e908815,2026-05-24 19:37:33,4,Gần cửa sổ,CONFIRMED,,2026-05-10 13:37:33,2026-05-10 13:37:33
f0e014e3-bf0f-4f9d-b1cf-1f2b2ee8178c,9469a1b3-8a8b-407b-979d-e805be445360,9331a273-0e04-4ee5-b93a-d0bb8e908815,2026-05-13 22:52:33,5,Gần cửa sổ,CONFIRMED,,2026-05-11 12:37:33,2026-05-11 12:37:33
1e1b9128-0956-449b-a78f-7fb985765c44,0a730060-a4a8-47af-94d6-0aca96b6d44c,9331a273-0e04-4ee5-b93a-d0bb8e908815,2026-05-18 06:07:33,1,Gần cửa sổ,REJECTED,Kín bàn,2026-05-10 15:37:33,2026-05-10 15:37:33
d6a101be-5450-4aa2-8e58-44cad7b114b9,1914cb49-8d0b-4a49-be75-ea47eb0a1e1e,9331a273-0e04-4ee5-b93a-d0bb8e908815,2026-05-18 02:37:33,9,,CANCELLED,,2026-05-10 08:37:33,2026-05-10 08:37:33
044caab2-0205-4465-accc-01f7efeebe3e,51e3375d-937f-4558-af1d-65d049c906ac,717bfd6b-e7a3-4725-ac11-fe9bfb904661,2026-05-14 02:52:33,7,Ghế trẻ em,CONFIRMED,,2026-05-10 23:37:33,2026-05-10 23:37:33
1d69c51c-239c-47a2-8cf2-3e47d1ee9587,05293d53-fc92-4310-838d-60ca8025cee0,717bfd6b-e7a3-4725-ac11-fe9bfb904661,2026-05-20 02:52:33,8,Gần cửa sổ,REJECTED,Kín bàn,2026-05-12 07:37:33,2026-05-12 07:37:33
03315ed5-c253-4444-a62e-b3f3a9e4c89a,09f207c4-829e-4501-809a-0c22e871ac4c,717bfd6b-e7a3-4725-ac11-fe9bfb904661,2026-05-21 07:22:33,8,,CONFIRMED,,2026-05-08 17:37:33,2026-05-08 17:37:33
c5e06e0b-94d5-4667-aad3-1c7e4c1acdd2,4056b8bc-134f-4169-8182-e93d6efb0de6,717bfd6b-e7a3-4725-ac11-fe9bfb904661,2026-05-14 07:37:33,5,Ghế trẻ em,REJECTED,Kín bàn,2026-05-10 02:37:33,2026-05-10 02:37:33
6e8cdcec-a179-43f8-b802-dbddd02a6a84,d6de416e-06f7-4209-8c1d-734dcf3abf46,717bfd6b-e7a3-4725-ac11-fe9bfb904661,2026-05-18 05:52:33,7,,REJECTED,Kín bàn,2026-05-11 15:37:33,2026-05-11 15:37:33
